,Speceis Name,optimal temperature,optimal pH,optimal salt concentration
3421,Tersicoccus phoenicis,30.0,6.75,None
3422,Microbacterium lemovicicum,30.0,None,0.5
3423,Microbacterium oryzae,28.0,8.0,None
3424,Methylotenera versatilis,19.5,6.2,None
3425,Salinicoccus qingdaonensis,28.0,8.5,3.0
3426,Sphingorhabdus planktonica,21.0,7.5,None
3427,Stakelama sediminis,30.0,6.0,0.5
3428,Sphingopyxis italica,27.5,7.5,None
3429,Rhizorhabdus starnbergensis,28.0,7.0,None
3430,Sphingomonas cynarae,28.0,6.25,0.25
3431,Sphingomonas polyaromaticivorans,26.0,7.0,0.5
3432,Sphingomonas sediminicola,30.0,7.0,None
3433,Sphingomonas ginsengisoli,30.0,7.0,None
3434,Sphingobium baderi,28.0,7.0,2.5
3435,Sphingobium boeckii,28.0,7.0,None
3436,Sphingobium limneticum,28.0,7.0,None
3437,Sphingobium vulgare,30.0,7.5,0.5
3438,Novosphingobium lindaniclasticum,28.0,None,None
3439,Novosphingobium fuchskuhlense,25.0,6.5,None
3440,Novosphingobium barchaimii,28.0,7.0,1.0
3441,Arcticibacter tournemirensis,30.0,7.0,0.5
3442,Shewanella dokdonensis,27.5,7.0,1.0
3443,Magnetovibrio blakemorei,27.0,7.0,None
3444,Pelagimonas varians,30.0,7.75,3.125
3445,Litoreibacter janthinus,26.5,7.75,2.5
3446,Litoreibacter albidus,26.5,7.0,2.5
3447,Celeribacter baekdonensis,30.0,7.75,2.0
3448,Thalassococcus halodurans,32.0,8.0,4.0
3449,Maribius salinus,32.5,7.5,5.5
3450,Maribius pelagius,32.5,7.5,8.5
3451,Shimia marina,32.5,7.0,5.0
3452,Salipiger pacificus,37.0,7.5,5.0
3453,Salipiger bermudensis,31.5,8.5,3.0
3454,Pseudovibrio axinellae,24.0,7.0,3.0
3455,Yoonia tamlensis,27.5,7.5,None
3456,Rhizobium subbaraonis,25.0,7.0,None
3457,Saccharomonospora amisosensis,30.0,7.0,None
3458,Lentzea jiangxiensis,24.0,6.0,None
3459,Schlegelella brevitalea,33.5,7.0,0.0
3460,Litorilinea aerophila,55.0,7.0,0.5
3461,Patulibacter medicamentivorans,32.0,6.75,None
3462,Metallibacterium scheffleri,27.5,5.5,None
3463,Silanimonas mangrovi,33.5,7.75,1.0
3464,Lysobacter arseniciresistens,28.0,7.0,None
3465,Arenimonas daechungensis,30.0,7.0,None
3466,Vibrio jasicida,31.0,7.5,4.0
3467,Photobacterium gaetbulicola,30.0,7.5,3.5
3468,Roseimicrobium gellanilyticum,28.0,None,None
3469,Actinoallomurus acanthiterrae,32.5,6.5,None
3470,Palaeococcus pacificus,80.0,7.0,3.0
3471,Brockia lithotrophica,62.5,6.5,None
3472,Thermoanaerobacter pentosaceus,70.0,7.0,None
3473,Melghirimyces profundicolus,52.5,7.0,3.0
3474,Streptosporangium sandarakinum,29.0,7.5,None
3475,Acrocarpospora phusangensis,27.5,None,0.5
3476,Streptomyces chlorus,30.0,7.0,None
3477,Streptomyces lannensis,30.0,8.0,3.0
3478,Streptomyces chiangmaiensis,30.0,8.0,2.0
3479,Streptomyces shaanxiensis,28.0,7.5,1.0
3480,Streptomyces viridis,30.0,7.0,None
3481,Streptomyces harbinensis,30.0,8.0,None
3482,Streptomyces chilikensis,30.0,8.0,8.0
3483,Streptococcus hongkongensis,37.0,None,None
3484,Belnapia soli,30.0,7.0,None
3485,Oligosphaera ethanolica,37.0,7.0,None
3486,Fretibacterium fastidiosum,37.0,6.5,None
3487,Fontimonas thermophila,47.5,6.75,None
3488,Dissulfuribacter thermophilus,61.0,6.8,2.25
3489,Blastocatella fastidiosa,32.0,6.25,None
3490,Chitinivorax tropicus,33.5,8.0,None
3491,Inhella fonticola,25.0,7.0,None
3492,Caldicoprobacter guelmensis,65.0,6.8,0.1
3493,Cloacibacillus porcorum,39.0,6.5,0.7
3494,Algoriphagus machipongonensis,30.0,7.5,3.0
3495,Halioglobus pacificus,22.5,7.5,2.0
3496,Halioglobus japonicus,22.5,7.5,2.0
3497,Effusibacillus consociatus,30.0,6.5,None
3498,Eoetvoesia caeni,55.0,8.2,0.5
3499,Flaviflexus huanghaiensis,29.0,7.75,1.0
3500,Georgenia sediminis,50.0,8.5,2.0
3501,Georgenia satyanarayanai,35.0,8.0,2.0
3502,Georgenia daeguensis,27.5,7.0,None
3503,Bartonella pachyuromydis,35.0,None,None
3504,Bartonella jaculi,35.0,None,None
3505,Bartonella callosciuri,35.0,None,None
3506,Bartonella acomydis,35.0,None,None
3507,Thermolongibacillus kozakliensis,60.0,9.0,0.5
3508,Thermolongibacillus altinsuensis,55.0,8.5,3.0
3509,Texcoconibacillus texcoconensis,37.0,8.75,2.1
3510,Fictibacillus phosphorivorans,29.0,7.5,None
3511,Saliterribacillus persicus,35.0,7.0,7.5
3512,Tumebacillus flagellatus,37.0,5.5,None
3513,Salsuginibacillus halophilus,37.0,9.0,19.0
3514,Ureibacillus manganicus,37.0,7.0,None
3515,Lysinibacillus contaminans,30.0,7.5,1.0
3516,Ureibacillus sinduriensis,30.0,7.0,None
3517,Ureibacillus massiliensis,33.5,7.0,5.0
3518,Terribacillus aidingensis,33.5,6.5,5.0
3519,Virgibacillus halotolerans,28.5,7.5,4.0
3520,Gracilibacillus orientalis,37.0,7.5,10.0
3521,Amphibacillus marinus,28.0,9.0,None
3522,Amphibacillus indicireducens,35.0,10.0,0.5
3523,Thalassobacillus hwangdonensis,40.0,7.2,7.5
3524,Ornithinibacillus halophilus,37.5,7.5,6.0
3525,Oceanobacillus indicireducens,39.0,10.0,5.0
3526,Oceanobacillus locisalsi,33.5,7.2,7.5
3527,Marinococcus tarijensis,38.5,7.6,5.0
3528,Robertmurraya andreesenii,45.0,7.5,2.0
3529,Bacillus pervagus,45.0,8.0,2.0
3530,Metabacillus halosaccharovorans,40.0,7.75,10.0
3531,Neobacillus ginsengisoli,33.5,6.75,None
3532,Halalkalibacter nanhaiisediminis,37.0,9.0,None
3533,Bacillus velezensis,28.0,7.0,1.5
3534,Brevibacterium daeguense,26.0,None,2.5
3535,Spelaeicoccus albus,29.0,7.0,1.5
3536,Caballeronia zhejiangensis,30.0,7.0,None
3537,Arcobacter anaerophilus,30.0,7.5,2.0
3538,Cellulomonas marina,26.5,7.5,None
3539,Fervidicella metallireducens,50.0,7.0,None
3540,Oceanirhabdus sediminicola,36.0,6.75,2.5
3541,Dyadobacter beijingensis,28.0,7.0,0.75
3542,Dyadobacter soli,25.0,6.8,None
3543,Spirosoma endophyticum,28.0,7.0,None
3544,Pontibacter akesuensis,29.0,7.8,2.0
3545,Seleniivibrio woodruffii,32.5,7.0,0.116
3546,Deinococcus humi,30.0,7.25,None
3547,Desulfocurvus thunnarius,40.0,7.1,0.2
3548,Rosenbergiella nectarea,29.0,None,3.0
3549,Gibbsiella dentisursi,37.0,8.5,1.0
3550,Cronobacter universalis,37.0,None,None
3551,Cronobacter condimenti,37.0,None,None
3552,Pectobacterium aroidearum,37.0,None,None
3553,Salinicola zeshunii,32.5,5.5,9.0
3554,Halolamina salifodinae,39.5,7.25,21.17
3555,Halarchaeum rubridurum,42.5,5.75,19.5
3556,Halarchaeum salinum,42.0,5.2,18.0
3557,Halopiger salifodinae,41.0,7.0,18.27
3558,Natronobacterium texcoconense,37.0,8.0,17.4
3559,Haloferax mucosum,47.5,7.4,17.4
3560,Haloferax elongans,53.0,7.4,17.4
3561,Haloferax larsenii,43.5,6.8,16.24
3562,Natronococcus roseus,41.0,9.25,25.0
3563,Halanaerobium sehlinense,43.0,7.4,20.0
3564,Klenkia taihuensis,28.0,7.0,None
3565,Sinomicrobium oceani,32.5,7.0,2.0
3566,Zunongwangia mangrovi,26.5,7.5,None
3567,Olleya namhaensis,25.0,7.5,2.0
3568,Lutibacter agarilyticus,25.0,7.0,2.0
3569,Lutibacter flavus,30.0,8.0,2.0
3570,Gramella forsetii,23.5,7.5,2.5
3571,Chryseobacterium hispalense,27.5,None,None
3572,Chryseobacterium carnipullorum,27.5,6.0,None
3573,Chryseobacterium frigidisoli,20.0,6.5,0.5
3574,Myroides guanonis,30.0,7.5,None
3575,Muricauda antarctica,35.0,7.5,2.0
3576,Muricauda zhangzhouensis,26.5,7.0,None
3577,Flavobacterium cutihirudinis,26.5,8.0,None
3578,Flavobacterium fontis,25.0,6.0,0.5
3579,Flavobacterium aciduliphilum,25.0,6.0,None
3580,Wocania ichthyoenteri,28.0,7.5,2.5
3581,Aequorivita viscosa,30.0,7.75,2.0
3582,Limibacter armeniacum,28.5,7.0,None
3583,Flammeovirga pacifica,32.0,8.0,3.0
3584,Flammeovirga kamogawensis,30.0,7.0,3.0
3585,Ferrimonas sediminum,26.5,7.5,3.0
3586,Enterococcus diestrammenae,33.5,8.0,None
3587,Sulfurimonas gotlandica,15.0,7.35,1.5
3588,Janibacter cremeus,25.0,7.0,None
3589,Terrabacter carboxydivorans,30.0,7.0,None
3590,Pedococcus cremeus,29.0,7.5,1.0
3591,Ligilactobacillus pobuzihii,37.0,7.0,10.0
3592,Paucilactobacillus hokkaidonensis,25.0,None,None
3593,Secundilactobacillus oryzae,30.0,None,None
3594,Loigolactobacillus iwatensis,30.0,None,None
3595,Lactobacillus delbrueckii subsp. jakobsenii,40.0,4.0,4.0
3596,Companilactobacillus heilongjiangensis,30.0,6.3,None
3597,Lactiplantibacillus mudanjiangensis,37.0,4.0,6.5
3598,Lacticaseibacillus songhuajiangensis,37.0,4.0,None
3599,Weissella diestrammenae,30.0,7.0,None
3600,Methanobrevibacter boviskoreani,38.5,6.75,None
3601,Methanoculleus horonobensis,39.5,6.75,0.87
3602,Methanospirillum stamsii,25.0,7.2,None
3603,Methylobacterium tarhaniae,26.5,7.0,None
3604,Methylomarinum vadi,40.0,6.4,2.5
3605,Hansschlegelia beijingensis,30.0,7.5,None
3606,Agrococcus terreus,30.0,7.0,1.0
3607,Agromyces tropicus,27.5,8.0,4.0
3608,Cryobacterium levicorallinum,11.0,None,None
3609,Microbacterium saccharophilum,30.0,7.0,None
3610,Humibacter antri,29.0,7.5,1.0
3611,Pseudarthrobacter siccitolerans,30.0,7.0,1.16
3612,Fontibacillus panacisegetis,25.0,7.0,1.0
3613,Paenibacillus thermoaerophilus,52.5,7.5,None
3614,Paenibacillus vulneris,30.0,7.5,1.0
3615,Paenibacillus chartarius,30.0,6.5,None
3616,Paenibacillus puldeungensis,30.0,6.0,3.0
3617,Paenibacillus chungangensis,30.0,7.0,3.0
3618,Paenibacillus pectinilyticus,30.0,7.35,0.25
3619,Noviherbaspirillum psychrotolerans,17.0,6.75,0.25
3620,Noviherbaspirillum massiliense,37.0,None,None
3621,Herminiimonas contaminans,27.5,None,None
3622,Streptomonospora nanhaiensis,37.0,7.5,3.5
3623,Nocardiopsis fildesensis,28.0,9.0,3.0
3624,Nocardioides psychrotolerans,20.0,7.75,0.25
3625,Nocardioides szechwanensis,17.5,8.75,0.5
3626,Nocardioides terrae,29.0,6.3,0.125
3627,Kribbella shirazensis,28.0,7.5,1.0
3628,Mycobacterium bourgelatii,42.0,None,None
3629,Mycobacterium arabiense,31.0,7.0,1.5
3630,Mycobacterium sediminis,28.0,7.0,1.0
3631,Mycobacterium heraklionense,31.0,None,None
3632,Planosporangium thailandense,40.0,5.0,None
3633,Micromonospora andamanensis,30.0,8.0,3.0
3634,Micromonospora kangleipakensis,28.0,6.0,None
3635,Micromonospora schwarzwaldensis,28.0,None,None
3636,Dactylosporangium siamense,29.0,None,None
3637,Zhihengliuella flava,25.0,7.5,None
3638,Rothia endophytica,35.0,7.5,0.25
3639,Micrococcus terreus,33.0,7.0,1.0
3640,Microlunatus flavus,26.5,6.8,None
3641,Prevotella jejuni,37.0,6.5,None
3642,Parabacteroides chinchillae,37.0,None,None
3643,Paenisporosarcina indica,20.0,7.0,None
3644,Metaplanococcus flavidus,30.0,7.5,None
3645,Methylophaga nitratireducenticrescens,30.0,8.0,3.0
3646,Methylophaga frappieri,34.0,8.0,3.0
3647,Pseudohoeflea suaedae,33.5,None,3.5
3648,Tepidibacter mesophilus,30.0,7.3,1.0
3649,Desulfofarcimen intricatum,43.5,6.6,None
3650,Aliiroseovarius halocynthiae,30.0,7.5,2.0
3651,Allosediminivita pacifica,32.5,7.0,None
3652,Pseudophaeobacter leonis,19.5,8.5,2.0
3653,Loktanella atrilutea,27.5,7.0,4.0
3654,Yoonia maricola,25.0,7.5,2.0
3655,Jannaschia aquimarina,30.0,7.5,2.0
3656,Ciceribacter lividus,28.0,7.0,None
3657,Rhizobium mesoamericanum,28.0,7.0,None
3658,Rhizobium petrolearium,30.0,7.5,1.0
3659,Rhizobium leucaenae,26.5,6.0,None
3660,Longimycelium tulufanense,37.0,7.0,2.0
3661,Actinophytocola burenkhanensis,27.5,8.0,1.0
3662,Allokutzneria multivorans,28.0,7.0,None
3663,Saccharothrix saharensis,30.0,7.0,None
3664,Lentzea nigeriaca,29.0,7.2,None
3665,Amycolatopsis cihanbeyliensis,28.0,7.2,None
3666,Pseudomonas sagittaria,30.0,7.0,None
3667,Pseudomonas zeshuii,32.5,7.0,0.5
3668,Pseudomonas taeanensis,26.5,7.2,2.5
3669,Roseovarius lutimaris,30.0,7.0,3.0
3670,Ruegeria faecimaris,30.0,7.5,2.5
3671,Ruegeria halocynthiae,30.0,7.5,2.5
3672,Ruegeria conchae,27.5,8.0,2.0
3673,Ruegeria intermedia,41.0,8.0,1.5
3674,Cognatishimia maritima,30.0,7.5,2.0
3675,Shimia haliotis,30.0,7.0,3.0
3676,Donghicola eburneus,26.0,7.5,2.0
3677,Lutimaribacter saemankumensis,30.0,7.5,2.0
3678,Salinihabitans flavidus,30.0,7.5,7.0
3679,Seohaeicola saemankumensis,30.0,7.5,2.0
3680,Marivita byunsanensis,27.5,7.5,2.0
3681,Hasllibacter halocynthiae,25.0,8.0,None
3682,Epibacterium ulvae,25.0,7.5,2.5
3683,Oceanicella actignis,54.0,7.0,3.5
3684,Planktomarina temperata,25.0,7.5,3.25
3685,Limimonas halophila,40.0,7.0,19.72
3686,Saccharospirillum salsuginis,37.0,8.0,5.0
3687,Sphingobium jiangsuense,28.0,7.0,0.5
3688,Sphingopyxis ginsengisoli,30.0,7.0,2.5
3689,Sphingopyxis indica,28.0,7.0,0.5
3690,Rehaibacterium terrae,45.0,8.0,0.5
3691,Chiayiivirga flava,30.0,7.0,None
3692,Luteimonas huabeiensis,30.0,7.0,0.5
3693,Luteimonas cucumeris,30.0,7.0,None
3694,Dyella jiangningensis,30.0,7.0,3.0
3695,Arenimonas metalli,28.0,8.0,None
3696,Williamsia sterculiae,28.0,7.0,0.5
3697,Vibrio splendidus,20.0,8.0,3.0
3698,Actinomadura xylanilytica,23.5,7.0,None
3699,Calderihabitans maritimus,65.0,7.25,2.46
3700,Marininema halotolerans,28.0,7.0,None
3701,Marininema mesophilum,30.0,6.5,None
3702,Planobispora siamensis,27.5,None,None
3703,Streptomyces aidingensis,28.0,7.0,2.0
3704,Streptomyces wuyuanensis,28.0,7.0,None
3705,Streptococcus rubneri,31.0,None,None
3706,Streptococcus dentasini,37.0,None,None
3707,Ardenticatena maritima,62.5,6.75,1.5
3708,Orbus sasakiae,22.5,7.5,1.0
3709,Aliifodinibius sediminis,28.0,7.0,8.0
3710,Aliifodinibius roseus,28.0,7.0,8.0
3711,Mesoaciditoga lauensis,58.5,5.6,3.0
3712,Exiguobacterium alkaliphilum,35.0,9.5,None
3713,Aridibacter kavangonensis,26.5,6.75,0.25
3714,Aridibacter famidurans,27.0,7.4,0.25
3715,Thermoanaerobaculum aquaticum,60.0,6.75,None
3716,Vallitalea guaymasensis,32.5,7.0,2.5
3717,Blautia faecis,37.0,6.2,None
3718,Pleionea mediterranea,27.5,7.0,0.75
3719,Neiella marina,26.5,7.75,2.5
3720,Plasticicumulans lactativorans,40.0,7.0,1.16
3721,Eilatimonas milleporae,30.0,7.4,2.0
3722,Amorphus suaedae,31.0,7.25,3.0
3723,Christensenella minuta,37.0,7.5,None
3724,Celerinatantimonas yamalensis,20.0,6.1,7.0
3725,Thermogemmatispora carboxidivorans,55.0,6.0,None
3726,Aminivibrio pyruvatiphilus,38.5,7.3,None
3727,Gracilimonas mengyeensis,28.0,7.5,6.5
3728,Sediminibacterium ginsengisoli,30.0,5.75,1.0
3729,Sediminibacterium salmoneum,25.0,7.0,None
3730,Aquihabitans daechungensis,30.0,7.0,None
3731,Actinopolyspora mzabensis,30.0,7.0,19.0
3732,Actinopolyspora lacussalsi,35.0,7.0,12.0
3733,Mariniradius saccharolyticus,33.5,7.5,2.0
3734,Cecembia calidifontis,45.0,8.0,1.0
3735,Nitritalea halalkaliphila,37.0,10.0,3.5
3736,Belliella pelovolcani,37.0,8.0,3.0
3737,Algoriphagus zhangzhouensis,25.0,7.5,4.0
3738,Acanthopleuribacter pedis,30.0,7.5,None
3739,Natranaerobaculum magadiense,47.5,9.5,7.54
3740,Jeongeupia chitinilytica,27.5,7.5,0.5
3741,Melioribacter roseus,53.5,7.5,0.6
3742,Motilibacter rhizosphaerae,37.0,None,None
3743,Kallotenue papyrolyticum,55.0,7.5,None
3744,Mesotoga infera,45.0,7.4,0.2
3745,Acidihalobacter ferrooxydans,36.0,1.8,2.5
3746,Microbulbifer maritimus,37.0,6.2,3.0
3747,Terriglobus aquaticus,25.0,6.0,None
3748,Acidithiobacillus ferridurans,29.0,2.1,None
3749,Roseomonas riguiloci,27.5,7.0,None
3750,Desulfobulbus alkaliphilus,33.0,9.4,1.16
3751,Desulfonatronobacter acidivorans,35.0,10.0,3.48
3752,Dyadobacter jejuensis,25.0,7.0,None
3753,Comamonas jiangduensis,37.0,7.25,1.0
3754,Pseudactinotalea suaedae,28.0,7.0,3.0
3755,Paraburkholderia diazotrophica,33.5,6.5,None
3756,Trinickia symbiotica,35.0,5.0,None
3757,Brevibacterium jeotgali,30.0,8.0,5.0
3758,Jeotgalibacillus terrae,32.5,7.5,3.5
3759,Halobacillus andaensis,30.0,8.0,8.0
3760,Levilactobacillus yonginensis,30.0,None,None
3761,Geoalkalibacter subterraneus,40.0,7.0,2.0
3762,Kosakonia sacchari,30.0,7.0,None
3763,Reinekea blandensis,28.5,None,None
3764,Paraperlucidibaca wandonensis,25.0,7.25,None
3765,Psychrobacter sanguinis,33.5,None,None
3766,Acinetobacter nectaris,27.5,None,None
3767,Actinoplanes siamensis,27.5,8.5,None
3768,Paeniglutamicibacter antarcticus,23.5,7.0,3.0
3769,Pseudarthrobacter niigatensis,30.0,7.5,None
3770,Rhizobium paknamense,30.0,6.5,1.0
3771,Pseudomonas guangdongensis,30.0,7.0,1.0
3772,Mesorhizobium sangaii,27.5,7.0,1.0
3773,Mesorhizobium qingshengii,28.0,7.0,1.0
3774,Mesorhizobium muleiense,28.0,7.0,None
3775,Mesorhizobium silamurunense,28.0,7.0,None
3776,Mesorhizobium robiniae,27.5,7.0,5.0
3777,Glaciimonas singularis,25.0,6.5,None
3778,Sinobacterium caligoides,25.0,None,3.25
3779,Reinekea aestuarii,25.0,7.0,3.5
3780,Sphingomonas canadensis,30.0,7.0,1.0
3781,Sphingobium sufflavum,25.0,7.0,None
3782,Sphingobium fontiphilum,37.0,7.0,None
3783,Thauera humireducens,31.0,8.0,0.5
3784,Litoreibacter halocynthiae,25.0,7.5,2.5
3785,Litoreibacter meonggei,25.0,7.5,2.0
3786,Marivita geojedonensis,30.0,7.25,2.5
3787,Marivita hallyeonensis,30.0,7.2,2.0
3788,Lutimaribacter pacificus,27.5,None,2.5
3789,Tropicimonas sediminicola,37.0,7.0,1.5
3790,Maritimibacter alkaliphilus,30.0,10.0,2.75
3791,Pseudoruegeria haliotis,30.0,7.5,1.0
3792,Thioclava dalianensis,28.0,None,3.0
3793,Aliiroseovarius sediminilitoris,30.0,7.5,2.0
3794,Roseovarius nanhaiticus,30.0,8.6,3.0
3795,Roseovarius halotolerans,35.0,7.5,3.5
3796,Roseovarius pacificus,25.0,7.35,7.0
3797,Roseivivax lentus,30.0,7.75,2.0
3798,Pseudooceanicola nitratireducens,28.0,8.2,2.25
3799,Pseudooceanicola marinus,31.5,7.0,4.0
3800,Yoonia sediminilitoris,25.0,7.5,2.0
3801,Limimaricola cinnabarinus,25.0,6.5,3.0
3802,Yoonia litorea,30.0,7.5,2.0
3803,Yoonia rosea,25.0,7.75,6.5
3804,Aetherobacter rufus,22.5,6.5,None
3805,Luteimonas vadosa,35.0,7.5,0.75
3806,Vibrio hangzhouensis,30.0,7.5,3.0
3807,Photobacterium jeanii,27.5,7.0,None
3808,Streptomyces halophytocola,28.0,7.25,3.0
3809,Streptomyces baliensis,28.0,7.0,None
3810,Rhodanobacter caeni,27.5,6.5,None
3811,Dyella kyungheensis,27.5,7.0,None
3812,Arenicella chitinivorans,26.5,8.0,2.25
3813,Vogesella alkaliphila,30.0,8.0,None
3814,Iodobacter arcticus,18.0,7.0,None
3815,Gallaecimonas xiamenensis,27.5,7.0,4.0
3816,Alkanibacter difficilis,30.0,7.0,None
3817,Promicromonospora kermanensis,27.5,None,None
3818,Anseongella ginsenosidimutans,30.0,6.5,None
3819,Rhodocytophaga aerolata,30.0,7.0,None
3820,Jannaschia donghaensis,25.0,7.5,7.5
3821,Sediminitomix flava,37.5,None,2.5
3822,Formosa algae,23.0,8.25,3.0
3823,Roseivirga pacifica,36.0,7.5,2.0
3824,Vogesella fluminis,25.0,6.5,0.5
3825,Sagittula marina,25.0,7.5,3.0
3826,Extensimonas vulgaris,48.0,7.25,0.5
3827,Natronoarchaeum philippinense,41.0,8.0,18.0
3828,Microvirga zambiensis,35.0,7.75,0.25
3829,Microvirga lotononidis,41.0,7.75,0.5
3830,Sphingomonas endophytica,29.0,7.0,0.5
3831,Bacteroides stercorirosoris,37.0,None,None
3832,Aetherobacter fasciculatus,30.0,7.0,None
3833,Methanosaeta harundinacea,35.5,7.4,None
3834,Frankia elaeagni,28.0,None,None
3835,Frankia casuarinae,28.0,None,None
3836,Frankia alni,28.0,None,None
3837,Nocardiopsis alkaliphila,29.0,9.8,2.5
3838,Mycobacterium houstonense,35.0,None,5.0
3839,Streptomyces kronopolitis,28.0,7.5,None
3840,Lewinella lutea,25.0,7.0,3.5
3841,Lewinella marina,27.5,7.5,3.0
3842,Sulfurovum denitrificans,30.0,7.0,3.0
3843,Venenivibrio stagnispumantis,70.0,5.4,0.4
3844,Actinobaculum massiliense,37.0,None,None
3845,Loktanella agnita,25.0,7.75,None
3846,Paludifilum halophilum,42.5,8.5,10.0
3847,Micromonospora terminaliae,32.0,None,None
3848,Verrucosispora sonchi,28.0,7.5,None
3849,Actinocrinis puniceicyclus,22.5,5.6,None
3850,Belliella kenyensis,32.5,None,None
3851,Serratia sp.,28.0,None,None
3852,Lutimonas saemankumensis,25.0,7.5,2.0
3853,Streptomyces yaanensis,28.0,None,None
3854,Parapedobacter pyrenivorans,37.0,8.5,None
3855,Frischella perrara,37.0,7.0,None
3856,Halalkalibacter oceani,31.0,7.5,2.75
3857,Rhizobium mayense,29.0,None,None
3858,Rhizobium calliandrae,29.0,None,None
3859,Parvularcula dongshanensis,28.0,None,2.0
3860,Methylomonas paludis,22.5,6.1,None
3861,Gilliamella apicola,37.0,None,None
3862,Iodobacter limnosediminis,18.0,9.5,None
3863,Comamonas guangdongensis,31.0,6.75,0.5
3864,Enterococcus ureilyticus,26.0,9.6,6.5
3865,Enterococcus rotai,26.0,9.6,6.5
3866,Angustibacter peucedani,30.0,7.5,1.5
3867,Leucobacter salsicius,27.5,7.5,2.0
3868,Actinoallomurus caesius,28.5,6.0,1.0
3869,Salininema proteolyticum,37.0,8.0,10.5
3870,Paenibacillus etheri,30.0,7.5,0.0
3871,Lachnotalea glycerini,30.0,7.0,0.03
3872,Agathobacter ruminis,37.0,7.0,None
3873,Sellimonas intestinalis,37.0,None,None
3874,Desulfotomaculum reducens,37.0,7.1,0.1
3875,Paenibacillus marchantiophytorum,28.0,7.2,0.0
3876,Domibacillus iocasae,35.0,8.0,3.0
3877,Clostridium liquoris,37.0,8.0,0.0
3878,Brevibacillus gelatini,40.0,7.0,None
3879,Haloimpatiens lingqiaonensis,43.0,7.0,0.0
3880,Bacillus ectoiniformans,30.0,8.0,2.0
3881,Paenibacillus cavernae,30.0,7.0,0.0
3882,Brevibacillus sediminis,52.5,7.0,None
3883,Neobacillus cucumis,29.0,None,1.5
3884,Streptosporangium algeriense,30.0,None,None
3885,Actinorectispora indica,28.0,7.0,0.0
3886,Tessaracoccus rhinocerotis,28.0,7.5,1.0
3887,Nonomuraea gerenzanensis,32.5,None,None
3888,Cnuibacter physcomitrellae,29.0,7.2,1.0
3889,Parviterribacter multiflagellatus,37.5,6.8,0.25
3890,Parviterribacter kavangonensis,39.0,6.5,0.0
3891,Intrasporangium flavum,30.0,7.0,1.0
3892,Enterovibrio pacificus,28.0,8.0,3.5
3893,Sulfuricaulis limicola,30.0,None,0.0
3894,Bacillus gobiensis,30.0,7.0,0.0
3895,Paenibacillus terreus,30.0,8.0,1.0
3896,Companilactobacillus insicii,30.0,None,None
3897,Comamonas phosphati,30.0,7.0,None
3898,Vibrio galatheae,30.0,None,3.5
3899,Thermanaeromonas burensis,65.0,7.5,0.1
3900,Sulfurirhabdus autotrophica,18.5,6.2,0.19
3901,Acidithiobacillus ferriphilus,30.0,2.0,None
3902,Paucilactobacillus wasatchensis,24.0,None,None
3903,Acidipila dinghuensis,32.5,4.2,None
3904,Occallatibacter savannae,34.5,4.8,0.0
3905,Occallatibacter riparius,31.5,5.8,0.5
3906,Edaphobacter dinghuensis,30.5,None,None
3907,Bifidobacterium tissieri,35.0,6.5,None
3908,Bifidobacterium hapali,37.0,6.5,None
3909,Bifidobacterium myosotis,40.0,7.0,None
3910,Nocardiopsis ansamitocini,30.0,8.5,0.0
3911,Microlunatus endophyticus,29.0,7.0,0.0
3912,Streptomyces alfalfae,37.0,None,None
3913,Caldimicrobium thiodismutans,75.0,8.2,None
3914,Caviibacter abscessus,36.0,None,None
3915,Dinghuibacter silviterrae,29.0,6.5,None
3916,Lysobacter tolerans,28.0,8.0,None
3917,Arthrobacter echini,20.0,7.0,1.0
3918,Dermabacter vaginalis,37.0,7.0,0.5
3919,Nocardioides zeicaulis,28.0,7.0,None
3920,Nocardia camponoti,28.0,7.0,None
3921,Tessaracoccus flavus,28.0,8.0,5.0
3922,Leucobacter holotrichiae,30.0,7.0,None
3923,Abyssivirga alkaniphila,37.0,7.6,3.0
3924,Hamadaea flava,29.0,7.5,0.5
3925,Petrimonas mucosa,45.0,7.7,0.0
3926,Izhakiella capsodis,29.0,None,3.0
3927,Desulfurella amilsii,50.0,6.2,None
3928,Nakamurella endophytica,29.0,7.0,0.0
3929,Bifidobacterium eulemuris,39.5,6.8,None
3930,Dethiosulfatarculus sandiegensis,33.5,6.6,4.5
3931,Paenibacillus bovis,32.5,6.2,1.0
3932,Mobilisporobacter senegalensis,30.0,7.8,1.0
3933,Oceanobacillus halophilus,35.0,8.0,7.5
3934,Sedimentibacter acidaminivorans,30.0,7.2,2.0
3935,Nesterenkonia aurantiaca,25.0,9.0,2.0
3936,Tenggerimyces flavus,26.5,7.2,0.0
3937,Streptomyces polygonati,28.0,7.0,None
3938,Streptomyces arcticus,28.0,7.0,0.0
3939,Streptosporangium saharense,31.0,7.0,None
3940,Promicromonospora alba,28.0,7.0,None
3941,Pseudomonas weihenstephanensis,25.0,None,None
3942,Pseudomonas helleri,27.0,None,None
3943,Mariniluteicoccus endophyticus,30.0,7.5,0.5
3944,Pseudoclavibacter endophyticus,30.0,8.0,4.0
3945,Streptomyces yangpuensis,29.0,None,1.0
3946,Stackebrandtia cavernae,29.0,7.5,None
3947,Phycicoccus endophyticus,37.0,7.0,1.0
3948,Methanosarcina flavescens,45.0,7.0,0.29
